2026.05.03 17:23:38 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2026.05.03 17:23:39 WARN  no build tool detected in workspace '/home/v-guhan-techy/projects/system-design-blueprints'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2026.05.03 17:23:39 WARN  Build server is not auto-connectable.
2026.05.03 17:23:39 WARN  no build target for: /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java
2026.05.03 17:23:39 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:23:40 WARN  Running javac-semanticdb failed for file:///home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Output:

2026.05.03 17:23:44 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:23:48 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:23:48 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:23:48 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:23:50 WARN  no build target for: /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java
2026.05.03 17:23:50 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:23:50 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:23:50 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:23:51 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:00 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:00 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:00 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:00 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:03 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:03 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:03 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:03 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:08 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:08 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:32 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:32 WARN  no build target for: /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java
2026.05.03 17:24:32 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:32 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:32 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:32 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:33 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:38 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:38 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:41 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:24:42 WARN  no build target for: /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java
2026.05.03 17:24:42 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:25:29 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:25:29 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:25:49 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:25:51 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:25:51 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:25:51 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:25:51 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:26:02 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:26:03 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:26:03 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:26:03 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:26:04 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
2026.05.03 17:26:05 INFO  no build target found for /home/v-guhan-techy/projects/system-design-blueprints/LLD/SOLID_Principles/Srp.java. Using fallback presentation compiler.
